"Invalid email.","Correo electrónico inválido."
"This email is already registered and cannot be referred.","Este correo electrónico ya está registrado y no puede ser referido."
"You have already referred this email.","Ya has referido este correo electrónico."
"The referral has been successfully saved.","El referido ha sido guardado correctamente."
"An unexpected error occurred while saving the referral.","Ocurrió un error inesperado al guardar el referido."
"Invalid referral ID.","ID de referido inválido."
"The referral does not exist.","El referido no existe."
"You do not have permission to edit this referral.","No tienes permiso para editar este referido."
"Referral successfully deleted.","El referido ha sido eliminado correctamente."
"An error occurred while deleting the referral.","Ocurrió un error al eliminar el referido."
"Create Referral","Crear Referido"
"Edit Referral","Editar Referido"
"My Referrals","Mis Referidos"
"Add New Referral","Agregar Nuevo Referido"
"First Name","Nombre"
"Last Name","Apellido"
"Email","Correo Electrónico"
"Phone","Teléfono"
"Status","Estado"
"Actions","Acciones"
"Save","Guardar"
"Back to List","Volver al Listado"
"Referral First Name","Nombre del Referido"
"Referral Last Name","Apellido del Referido"
"Referral Email","Correo Electrónico del Referido"
"Referral Phone","Teléfono del Referido"
"Referral Status","Estado del Referido"
"Pending","Pendiente"
"Registered","Registrado"
"Edit","Editar"
"Delete","Eliminar"
"Are you sure you want to delete this referral?","¿Está seguro de que desea eliminar este referido?"
